internal_id,OUTLET NAME,Product Category,Report Owner,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25
DM-001,Dubai Mall,Womenswear,Rania Hassan,888888,350000,420000,580000,310000,290000
DM-002,Dubai Mall,Menswear,Rania Hassan,220000,200000,240000,320000,180000,170000
DM-003,Dubai Mall,Accessories,Rania Hassan,150000,140000,160000,220000,130000,120000
MM-001,Marina Mall,Womenswear,Khalid Al Sayed,280000,260000,300000,410000,240000,220000
MM-002,Marina Mall,Menswear,Khalid Al Sayed,160000,145000,175000,240000,135000,125000
MM-003,Marina Mall,Accessories,Khalid Al Sayed,110000,100000,120000,165000,95000,88000
ON-001,Online,Womenswear,Sara Nasser,999999,210000,230000,280000,200000,195000
ON-002,Online,Menswear,Sara Nasser,95000,105000,115000,140000,100000,98000
ON-003,Online,Accessories,Sara Nasser,65000,72000,78000,95000,68000,65000
,,,,,,,,,
TOTAL,ALL OUTLETS,ALL,,,,,,,
